SKU,Product_Name,Category,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,forward_demand_6w,lead_time_demand,projected_stock_after_lead,estimated_units_short,excess_inventory,inventory_coverage_weeks,stockout_risk,overstock_risk,risk_action,sales_at_risk_rs,capital_locked_rs,total_rupee_impact_rs,stockout_severity,overstock_severity,rupee_severity,priority_score
SKU022,Product 022,Home Decor,95,194,8,76,163,461,146,143,0,0.0,1.2364425162689805,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU019,Product 019,Lighting,227,114,14,25,126,657,227,114,0,0.0,2.0730593607305936,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU021,Product 021,Furniture,88,97,9,36,88,389,123,62,0,0.0,1.3573264781491003,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU026,Product 026,Furniture,160,70,5,31,59,963,165,65,0,0.0,0.9968847352024922,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU024,Product 024,Lighting,341,18,14,60,259,497,150,209,0,0.0,4.116700201207244,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU027,Product 027,Home Decor,567,103,3,83,133,1080,167,503,0,0.0,3.15,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU028,Product 028,Kitchen,174,55,11,114,337,245,84,145,0,0.0,4.261224489795918,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU030,Product 030,Storage,166,32,9,43,104,199,65,133,0,0.0,5.0050251256281415,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU029,Product 029,Lighting,261,520,5,196,329,668,110,671,0,0.0,2.344311377245509,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU032,Product 032,Home Decor,278,214,11,60,185,385,121,371,0,0.0,4.332467532467533,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU020,Product 020,Storage,1002,353,3,129,227,555,83,1272,0,0.0,10.832432432432432,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU033,Product 033,Kitchen,208,168,12,55,183,802,261,115,0,0.0,1.5561097256857856,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU035,Product 035,Storage,670,76,8,137,304,922,271,475,0,0.0,4.360086767895879,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU037,Product 037,Home Decor,355,687,8,315,644,990,314,728,0,0.0,2.1515151515151514,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU036,Product 036,Furniture,383,135,3,77,129,214,32,486,0,0.0,10.738317757009346,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU038,Product 038,Kitchen,159,310,12,56,175,286,96,373,0,0.0,3.335664335664336,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU039,Product 039,Lighting,93,35,3,17,31,154,25,103,0,0.0,3.623376623376623,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU041,Product 041,Furniture,440,40,4,78,139,477,98,382,0,0.0,5.534591194968553,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU042,Product 042,Home Decor,90,120,6,41,88,933,137,73,0,0.0,0.5787781350482315,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU043,Product 043,Kitchen,559,211,12,142,393,998,323,447,0,0.0,3.3607214428857715,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU044,Product 044,Lighting,223,39,5,55,93,430,76,186,0,0.0,3.111627906976744,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU045,Product 045,Storage,307,142,4,88,142,1063,169,280,0,0.0,1.7328316086547508,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU046,Product 046,Furniture,119,182,4,46,96,404,72,229,0,0.0,1.7673267326732673,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU047,Product 047,Home Decor,201,129,9,44,99,595,194,136,0,0.0,2.026890756302521,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU048,Product 048,Kitchen,106,50,3,22,31,349,57,99,0,0.0,1.8223495702005732,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU049,Product 049,Lighting,780,599,5,206,344,1055,177,1202,0,0.0,4.436018957345971,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU050,Product 050,Storage,328,525,14,69,316,253,80,773,0,0.0,7.778656126482214,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
