SKU,forecast_week,predicted_demand,baseline_prediction,model_prediction,selected_model
SKU011,2026-01-19,24,24,14.390831441663682,Seasonal-Naive Baseline
SKU011,2026-01-26,13,13,2.4790892043084645,Seasonal-Naive Baseline
SKU011,2026-02-02,16,16,22.595771812706857,Seasonal-Naive Baseline
SKU011,2026-02-09,16,16,19.846116434375713,Seasonal-Naive Baseline
SKU012,2026-01-05,180,180,148.53574111187385,Seasonal-Naive Baseline
SKU012,2026-01-12,194,194,138.30345927308613,Seasonal-Naive Baseline
SKU012,2026-01-19,191,191,146.61784454643163,Seasonal-Naive Baseline
SKU012,2026-01-26,172,172,152.33327290374564,Seasonal-Naive Baseline
SKU012,2026-02-02,195,195,184.97873389062735,Seasonal-Naive Baseline
SKU012,2026-02-09,203,203,193.47989925735956,Seasonal-Naive Baseline
SKU013,2026-01-05,93,93,76.65869650308593,Seasonal-Naive Baseline
SKU013,2026-01-12,98,98,66.38833005581472,Seasonal-Naive Baseline
SKU013,2026-01-19,87,87,76.20450153349823,Seasonal-Naive Baseline
SKU013,2026-01-26,91,91,38.26503361867145,Seasonal-Naive Baseline
SKU013,2026-02-02,97,97,98.81277439918267,Seasonal-Naive Baseline
SKU013,2026-02-09,97,97,98.42286930905804,Seasonal-Naive Baseline
SKU014,2026-01-05,131,131,119.22216409790055,Seasonal-Naive Baseline
SKU014,2026-01-12,144,144,117.89375611557088,Seasonal-Naive Baseline
SKU014,2026-01-19,181,181,99.24247137414264,Seasonal-Naive Baseline
SKU014,2026-01-26,126,126,67.8406621720388,Seasonal-Naive Baseline
SKU014,2026-02-02,167,167,144.7472280287562,Seasonal-Naive Baseline
SKU014,2026-02-09,188,188,152.7263434640692,Seasonal-Naive Baseline
SKU015,2026-01-05,25,25,24.336834867060645,Seasonal-Naive Baseline
SKU015,2026-01-12,27,27,22.10076600700139,Seasonal-Naive Baseline
SKU015,2026-01-19,32,32,19.14611216460799,Seasonal-Naive Baseline
SKU015,2026-01-26,29,29,8.227341974834937,Seasonal-Naive Baseline
SKU015,2026-02-02,31,31,25.380669342581054,Seasonal-Naive Baseline
SKU015,2026-02-09,37,37,26.26981061578482,Seasonal-Naive Baseline
SKU016,2026-01-05,97,97,88.71217356035693,Seasonal-Naive Baseline
SKU016,2026-01-12,76,76,75.44273150792807,Seasonal-Naive Baseline
SKU016,2026-01-19,100,100,74.95148676423449,Seasonal-Naive Baseline
SKU016,2026-01-26,95,95,53.3554550127737,Seasonal-Naive Baseline
SKU016,2026-02-02,112,112,103.05846291802847,Seasonal-Naive Baseline
SKU016,2026-02-09,93,93,110.75765689601373,Seasonal-Naive Baseline
SKU017,2026-01-05,97,97,83.43843794504095,Seasonal-Naive Baseline
SKU017,2026-01-12,106,106,84.39101993206886,Seasonal-Naive Baseline
SKU017,2026-01-19,89,89,73.7077701703946,Seasonal-Naive Baseline
SKU017,2026-01-26,89,89,54.83347212380936,Seasonal-Naive Baseline
SKU017,2026-02-02,112,112,108.87081477890735,Seasonal-Naive Baseline
SKU017,2026-02-09,97,97,108.89512143013908,Seasonal-Naive Baseline
SKU018,2026-01-05,172,172,148.6025041527673,Seasonal-Naive Baseline
SKU018,2026-01-12,164,164,137.54142534079176,Seasonal-Naive Baseline
SKU018,2026-01-19,163,163,137.26228336095107,Seasonal-Naive Baseline
SKU018,2026-01-26,178,178,116.89877760619594,Seasonal-Naive Baseline
SKU018,2026-02-02,175,175,179.77860938385473,Seasonal-Naive Baseline
SKU018,2026-02-09,186,186,188.7051989657157,Seasonal-Naive Baseline
SKU019,2026-01-05,114,114,105.03811383863625,Seasonal-Naive Baseline
SKU019,2026-01-12,113,113,91.73255599983057,Seasonal-Naive Baseline
SKU019,2026-01-19,115,115,83.2760073116337,Seasonal-Naive Baseline
SKU019,2026-01-26,109,109,72.34493261272752,Seasonal-Naive Baseline
SKU019,2026-02-02,95,95,112.24525718907782,Seasonal-Naive Baseline
SKU019,2026-02-09,111,111,122.14966495411313,Seasonal-Naive Baseline
SKU020,2026-01-05,83,83,82.90520192225694,Seasonal-Naive Baseline
SKU020,2026-01-12,95,95,81.92974507927278,Seasonal-Naive Baseline
SKU020,2026-01-19,100,100,62.661761676219385,Seasonal-Naive Baseline
SKU020,2026-01-26,79,79,49.87241333668086,Seasonal-Naive Baseline
SKU020,2026-02-02,93,93,95.78470021960919,Seasonal-Naive Baseline
SKU020,2026-02-09,105,105,105.75744778744256,Seasonal-Naive Baseline
SKU021,2026-01-05,63,63,52.7840155935857,Seasonal-Naive Baseline
SKU021,2026-01-12,60,60,40.6007063371031,Seasonal-Naive Baseline
SKU021,2026-01-19,57,57,42.07428682694437,Seasonal-Naive Baseline
SKU021,2026-01-26,73,73,35.083641466135575,Seasonal-Naive Baseline
SKU021,2026-02-02,63,63,56.309378544547975,Seasonal-Naive Baseline
SKU021,2026-02-09,73,73,57.290334433974266,Seasonal-Naive Baseline
SKU022,2026-01-05,77,77,73.89933857717581,Seasonal-Naive Baseline
SKU022,2026-01-12,69,69,54.5346206643945,Seasonal-Naive Baseline
SKU022,2026-01-19,79,79,54.88057610273384,Seasonal-Naive Baseline
SKU022,2026-01-26,75,75,32.50902976225399,Seasonal-Naive Baseline
SKU022,2026-02-02,75,75,74.28188324357797,Seasonal-Naive Baseline
SKU022,2026-02-09,86,86,79.35580189717757,Seasonal-Naive Baseline
SKU023,2026-01-05,114,114,112.44360471455055,Seasonal-Naive Baseline
SKU023,2026-01-12,92,92,84.59730063765473,Seasonal-Naive Baseline
SKU023,2026-01-19,83,83,94.98835670355824,Seasonal-Naive Baseline
SKU023,2026-01-26,106,106,53.19544915976838,Seasonal-Naive Baseline
SKU023,2026-02-02,98,98,116.11377248307184,Seasonal-Naive Baseline
SKU023,2026-02-09,113,113,117.53463056684124,Seasonal-Naive Baseline
SKU024,2026-01-05,77,77,73.28452897412356,Seasonal-Naive Baseline
SKU024,2026-01-12,73,73,74.27074331104227,Seasonal-Naive Baseline
SKU024,2026-01-19,80,80,56.404853681554854,Seasonal-Naive Baseline
SKU024,2026-01-26,88,88,58.38689384868612,Seasonal-Naive Baseline
SKU024,2026-02-02,84,84,92.46388816153811,Seasonal-Naive Baseline
SKU024,2026-02-09,95,95,94.9946044568126,Seasonal-Naive Baseline
SKU025,2026-01-05,21,21,17.26914152644616,Seasonal-Naive Baseline
SKU025,2026-01-12,12,12,12.127235931474623,Seasonal-Naive Baseline
SKU025,2026-01-19,21,21,15.137432358364913,Seasonal-Naive Baseline
SKU025,2026-01-26,17,17,4.639255840348256,Seasonal-Naive Baseline
SKU025,2026-02-02,28,28,17.457527509294223,Seasonal-Naive Baseline
SKU025,2026-02-09,16,16,19.537996250707845,Seasonal-Naive Baseline
SKU026,2026-01-05,165,165,148.51054520932777,Seasonal-Naive Baseline
SKU026,2026-01-12,136,136,107.9749545027878,Seasonal-Naive Baseline
SKU026,2026-01-19,165,165,95.29967302829655,Seasonal-Naive Baseline
SKU026,2026-01-26,161,161,80.62611217373745,Seasonal-Naive Baseline
SKU026,2026-02-02,170,170,159.97995653007604,Seasonal-Naive Baseline
SKU026,2026-02-09,166,166,159.80454883940425,Seasonal-Naive Baseline
SKU027,2026-01-05,167,167,165.63346838568754,Seasonal-Naive Baseline
SKU027,2026-01-12,190,190,124.83677061620594,Seasonal-Naive Baseline
SKU027,2026-01-19,179,179,151.55750946837193,Seasonal-Naive Baseline
SKU027,2026-01-26,160,160,145.46236286870047,Seasonal-Naive Baseline
SKU027,2026-02-02,197,197,182.86252984775666,Seasonal-Naive Baseline
SKU027,2026-02-09,187,187,183.90055624182392,Seasonal-Naive Baseline
SKU028,2026-01-05,41,41,29.341030755423763,Seasonal-Naive Baseline
SKU028,2026-01-12,43,43,24.314060857783737,Seasonal-Naive Baseline
SKU028,2026-01-19,42,42,24.66976840406157,Seasonal-Naive Baseline
SKU028,2026-01-26,38,38,18.445967468782335,Seasonal-Naive Baseline
SKU028,2026-02-02,44,44,35.577223085989196,Seasonal-Naive Baseline
SKU028,2026-02-09,37,37,35.28409363336563,Seasonal-Naive Baseline
SKU029,2026-01-05,110,110,103.68314869149984,Seasonal-Naive Baseline
SKU029,2026-01-12,124,124,74.95592923258668,Seasonal-Naive Baseline
SKU029,2026-01-19,91,91,79.96305742505164,Seasonal-Naive Baseline
SKU029,2026-01-26,111,111,53.13730390075079,Seasonal-Naive Baseline
SKU029,2026-02-02,105,105,115.01789537048862,Seasonal-Naive Baseline
SKU029,2026-02-09,127,127,124.38675766114062,Seasonal-Naive Baseline
SKU030,2026-01-05,31,31,29.572466770743407,Seasonal-Naive Baseline
SKU030,2026-01-12,34,34,25.213768538722675,Seasonal-Naive Baseline
SKU030,2026-01-19,36,36,25.329151971365285,Seasonal-Naive Baseline
SKU030,2026-01-26,26,26,12.818242046612538,Seasonal-Naive Baseline
SKU030,2026-02-02,41,41,33.84124422274764,Seasonal-Naive Baseline
SKU030,2026-02-09,31,31,33.47743774103601,Seasonal-Naive Baseline
SKU031,2026-01-05,145,145,116.76774919062528,Seasonal-Naive Baseline
SKU031,2026-01-12,132,132,101.72862663904829,Seasonal-Naive Baseline
SKU031,2026-01-19,140,140,92.07897908364585,Seasonal-Naive Baseline
SKU031,2026-01-26,131,131,67.582775952138,Seasonal-Naive Baseline
SKU031,2026-02-02,152,152,127.61165385378976,Seasonal-Naive Baseline
SKU031,2026-02-09,163,163,134.840651697605,Seasonal-Naive Baseline
SKU032,2026-01-05,54,54,52.48008086930398,Seasonal-Naive Baseline
SKU032,2026-01-12,67,67,53.55190846247587,Seasonal-Naive Baseline
SKU032,2026-01-19,64,64,36.06341587852389,Seasonal-Naive Baseline
SKU032,2026-01-26,63,63,39.70669373186236,Seasonal-Naive Baseline
SKU032,2026-02-02,74,74,67.37769170781581,Seasonal-Naive Baseline
SKU032,2026-02-09,63,63,68.67318294433362,Seasonal-Naive Baseline
SKU033,2026-01-05,123,123,105.04498167685124,Seasonal-Naive Baseline
SKU033,2026-01-12,138,138,90.64818421609661,Seasonal-Naive Baseline
SKU033,2026-01-19,129,129,82.89415051004133,Seasonal-Naive Baseline
SKU033,2026-01-26,139,139,81.50645075693382,Seasonal-Naive Baseline
SKU033,2026-02-02,146,146,129.24340677130323,Seasonal-Naive Baseline
SKU033,2026-02-09,127,127,138.92472650026104,Seasonal-Naive Baseline
SKU034,2026-01-05,128,128,121.59990075457267,Seasonal-Naive Baseline
SKU034,2026-01-12,134,134,102.09635996131155,Seasonal-Naive Baseline
SKU034,2026-01-19,148,148,95.2081052964089,Seasonal-Naive Baseline
SKU034,2026-01-26,142,142,91.13644491067954,Seasonal-Naive Baseline
SKU034,2026-02-02,145,145,150.43327636424814,Seasonal-Naive Baseline
SKU034,2026-02-09,160,160,141.71637780895693,Seasonal-Naive Baseline
SKU035,2026-01-05,149,149,131.30140339355984,Seasonal-Naive Baseline
SKU035,2026-01-12,122,122,118.65027323340213,Seasonal-Naive Baseline
SKU035,2026-01-19,148,148,90.46228378795173,Seasonal-Naive Baseline
SKU035,2026-01-26,140,140,74.87615788845078,Seasonal-Naive Baseline
SKU035,2026-02-02,179,179,144.1488220554876,Seasonal-Naive Baseline
SKU035,2026-02-09,184,184,157.96832656564072,Seasonal-Naive Baseline
SKU036,2026-01-05,32,32,29.894648441598335,Seasonal-Naive Baseline
SKU036,2026-01-12,36,36,23.578082997594965,Seasonal-Naive Baseline
SKU036,2026-01-19,38,38,23.117505718082256,Seasonal-Naive Baseline
SKU036,2026-01-26,39,39,16.528552520685245,Seasonal-Naive Baseline
SKU036,2026-02-02,39,39,34.6816803030678,Seasonal-Naive Baseline
SKU036,2026-02-09,30,30,32.46524682820684,Seasonal-Naive Baseline
SKU037,2026-01-05,156,156,151.34740375098733,Seasonal-Naive Baseline
SKU037,2026-01-12,158,158,152.75820955481458,Seasonal-Naive Baseline
SKU037,2026-01-19,163,163,139.42089630209347,Seasonal-Naive Baseline
SKU037,2026-01-26,167,167,102.47103175968965,Seasonal-Naive Baseline
SKU037,2026-02-02,181,181,179.34596282136337,Seasonal-Naive Baseline
SKU037,2026-02-09,165,165,182.18186724924743,Seasonal-Naive Baseline
SKU038,2026-01-05,48,48,48.667208547055985,Seasonal-Naive Baseline
SKU038,2026-01-12,48,48,39.50553373635244,Seasonal-Naive Baseline
SKU038,2026-01-19,42,42,38.63369944533389,Seasonal-Naive Baseline
SKU038,2026-01-26,46,46,35.03916906639895,Seasonal-Naive Baseline
SKU038,2026-02-02,47,47,54.6073278225706,Seasonal-Naive Baseline
SKU038,2026-02-09,55,55,54.615896104689675,Seasonal-Naive Baseline
SKU039,2026-01-05,25,25,20.816961001962824,Seasonal-Naive Baseline
SKU039,2026-01-12,25,25,11.040641187518883,Seasonal-Naive Baseline
SKU039,2026-01-19,24,24,15.216370089184117,Seasonal-Naive Baseline
SKU039,2026-01-26,25,25,8.130504503331101,Seasonal-Naive Baseline
SKU039,2026-02-02,26,26,22.943443794861366,Seasonal-Naive Baseline
SKU039,2026-02-09,29,29,22.588010580910154,Seasonal-Naive Baseline
SKU040,2026-01-05,115,115,93.021960364339,Seasonal-Naive Baseline
SKU040,2026-01-12,112,112,75.88905170712124,Seasonal-Naive Baseline
SKU040,2026-01-19,101,101,64.10492830252291,Seasonal-Naive Baseline
SKU040,2026-01-26,110,110,47.85611738496764,Seasonal-Naive Baseline
SKU040,2026-02-02,102,102,99.63658919718833,Seasonal-Naive Baseline
SKU040,2026-02-09,125,125,105.34785569329587,Seasonal-Naive Baseline
SKU041,2026-01-05,98,98,67.77279690488685,Seasonal-Naive Baseline
SKU041,2026-01-12,74,74,64.66195789069549,Seasonal-Naive Baseline
SKU041,2026-01-19,72,72,59.28923972853289,Seasonal-Naive Baseline
SKU041,2026-01-26,80,80,45.63607029360823,Seasonal-Naive Baseline
SKU041,2026-02-02,77,77,81.07053076207312,Seasonal-Naive Baseline
SKU041,2026-02-09,76,76,83.2341204213328,Seasonal-Naive Baseline
SKU042,2026-01-05,137,137,158.7876656612024,Seasonal-Naive Baseline
SKU042,2026-01-12,155,155,131.30001997114422,Seasonal-Naive Baseline
SKU042,2026-01-19,149,149,124.93701007934206,Seasonal-Naive Baseline
SKU042,2026-01-26,162,162,75.11266513835433,Seasonal-Naive Baseline
SKU042,2026-02-02,151,151,162.0924105593956,Seasonal-Naive Baseline
SKU042,2026-02-09,179,179,164.3252135797816,Seasonal-Naive Baseline
SKU043,2026-01-05,166,166,148.1386220226715,Seasonal-Naive Baseline
SKU043,2026-01-12,157,157,131.56133009645376,Seasonal-Naive Baseline
SKU043,2026-01-19,155,155,119.6804285191447,Seasonal-Naive Baseline
SKU043,2026-01-26,161,161,95.26651820847691,Seasonal-Naive Baseline
SKU043,2026-02-02,191,191,174.3078941704842,Seasonal-Naive Baseline
SKU043,2026-02-09,168,168,162.82074302541724,Seasonal-Naive Baseline
SKU044,2026-01-05,76,76,59.918735445324735,Seasonal-Naive Baseline
SKU044,2026-01-12,81,81,63.294609796322014,Seasonal-Naive Baseline
SKU044,2026-01-19,71,71,46.85719494606837,Seasonal-Naive Baseline
SKU044,2026-01-26,67,67,37.441519351091415,Seasonal-Naive Baseline
SKU044,2026-02-02,69,69,72.42739339697856,Seasonal-Naive Baseline
SKU044,2026-02-09,66,66,67.66093030465316,Seasonal-Naive Baseline
SKU045,2026-01-05,169,169,141.43468126713242,Seasonal-Naive Baseline
SKU045,2026-01-12,145,145,138.51790794400046,Seasonal-Naive Baseline
SKU045,2026-01-19,184,184,126.77634939846456,Seasonal-Naive Baseline
SKU045,2026-01-26,184,184,120.52895005262185,Seasonal-Naive Baseline
SKU045,2026-02-02,179,179,180.462264754501,Seasonal-Naive Baseline
SKU045,2026-02-09,202,202,191.81331436256949,Seasonal-Naive Baseline
SKU046,2026-01-05,72,72,62.00321079907967,Seasonal-Naive Baseline
SKU046,2026-01-12,66,66,54.11412052308852,Seasonal-Naive Baseline
SKU046,2026-01-19,60,60,51.989668785317726,Seasonal-Naive Baseline
SKU046,2026-01-26,66,66,39.74316729545239,Seasonal-Naive Baseline
SKU046,2026-02-02,76,76,62.366719768069046,Seasonal-Naive Baseline
SKU046,2026-02-09,64,64,70.54605204405676,Seasonal-Naive Baseline
SKU047,2026-01-05,110,110,96.48387428489454,Seasonal-Naive Baseline
SKU047,2026-01-12,84,84,84.1712488792031,Seasonal-Naive Baseline
SKU047,2026-01-19,90,90,73.64868793372264,Seasonal-Naive Baseline
SKU047,2026-01-26,99,99,62.73698499120065,Seasonal-Naive Baseline
SKU047,2026-02-02,108,108,114.64465347019521,Seasonal-Naive Baseline
SKU047,2026-02-09,104,104,112.47072170852567,Seasonal-Naive Baseline
SKU048,2026-01-05,57,57,47.67117330391965,Seasonal-Naive Baseline
SKU048,2026-01-12,61,61,44.15631991324098,Seasonal-Naive Baseline
SKU048,2026-01-19,71,71,36.551720214458314,Seasonal-Naive Baseline
SKU048,2026-01-26,63,63,32.24177656243524,Seasonal-Naive Baseline
SKU048,2026-02-02,53,53,56.349504085352564,Seasonal-Naive Baseline
SKU048,2026-02-09,44,44,57.03961185206945,Seasonal-Naive Baseline
SKU049,2026-01-05,177,177,164.63709643097295,Seasonal-Naive Baseline
SKU049,2026-01-12,183,183,145.3076020423313,Seasonal-Naive Baseline
SKU049,2026-01-19,154,154,148.89960729799364,Seasonal-Naive Baseline
SKU049,2026-01-26,160,160,136.4515158343306,Seasonal-Naive Baseline
SKU049,2026-02-02,199,199,182.79196400444187,Seasonal-Naive Baseline
SKU049,2026-02-09,182,182,197.67741199992298,Seasonal-Naive Baseline
SKU050,2026-01-05,40,40,39.13424811186349,Seasonal-Naive Baseline
SKU050,2026-01-12,40,40,29.332895838013954,Seasonal-Naive Baseline
SKU050,2026-01-19,45,45,34.309642752244365,Seasonal-Naive Baseline
SKU050,2026-01-26,36,36,21.98323683425102,Seasonal-Naive Baseline
SKU050,2026-02-02,41,41,42.13075053682494,Seasonal-Naive Baseline
SKU050,2026-02-09,51,51,41.58807598558711,Seasonal-Naive Baseline
